Key,Country,Language,Language_Category,Encounter_Likelihood,Google_Offline,Google_Talk,Continent,Approx. U.S. Citizen Travel,4G_Penetration,5G_Planned,FIPS,COUNTRY2,Flag_URL,Pop_2021
1,Afghanistan,Pashto,National,2,FALSE,FALSE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
2,Afghanistan,Dari,Official,1,TRUE,TRUE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
3,Afghanistan,Uzbek,Regional,4,FALSE,FALSE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
4,Afghanistan,Turkmen,Regional,4,FALSE,FALSE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
5,Afghanistan,Pashai,Regional,4,FALSE,FALSE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
6,Afghanistan,Nuristani,Regional,4,TRUE,TRUE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
7,Afghanistan,Balochi,Regional,4,FALSE,TRUE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
8,Afghanistan,Pamiri,Regional,4,FALSE,FALSE,Asia,179711,50,No,AF,Afghanistan,Afghanistan.png,"39,835,428"
9,Albania,Albanian,Official,1,TRUE,FALSE,Europe,634979,72.9,No,AL,Albania,Albania.png,"2,872,933"
10,Albania,Greek,Minority,5,TRUE,TRUE,Europe,634979,72.9,No,AL,Albania,Albania.png,"2,872,933"
11,Albania,Macedonian,Minority,5,TRUE,FALSE,Europe,634979,72.9,No,AL,Albania,Albania.png,"2,872,933"
12,Albania,Aromanian,Minority,5,FALSE,TRUE,Europe,634979,72.9,No,AL,Albania,Albania.png,"2,872,933"
13,Algeria,Arabic,National,2,TRUE,TRUE,Africa,39447,56.5,No,AG,Algeria,Algeria.png,"44,616,624"
14,Algeria,Tamazight,National,2,FALSE,FALSE,Africa,39447,56.5,No,AG,Algeria,Algeria.png,"44,616,624"
15,Algeria,French,Widely-spoken,3,TRUE,TRUE,Africa,39447,56.5,No,AG,Algeria,Algeria.png,"44,616,624"
16,Andorra,Catalan,Official,1,TRUE,TRUE,Europe,595293,50,No,AN,Andorra,Andorra.png,"77,355"
17,Andorra,Spanish,Minority,5,TRUE,TRUE,Europe,595293,50,No,AN,Andorra,Andorra.png,"77,355"
18,Andorra,French,Minority,5,TRUE,TRUE,Europe,595293,50,No,AN,Andorra,Andorra.png,"77,355"
19,Andorra,Portuguese,Minority,5,TRUE,TRUE,Europe,595293,50,No,AN,Andorra,Andorra.png,"77,355"
20,Angola,Portuguese,Official,1,TRUE,TRUE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
21,Angola,Kimbundu,National,2,FALSE,TRUE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
22,Angola,Umbundu,National,2,TRUE,FALSE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
23,Angola,Kikongo,National,2,FALSE,TRUE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
24,Angola,Chokwe,National,2,TRUE,TRUE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
25,Angola,Kwanyama,National,2,FALSE,FALSE,Africa,34516,50,No,AO,Angola,Angola.png,"33,933,610"
26,Antigua and Barbuda,English,National,2,TRUE,TRUE,North America,275524,50,No,AC,Antigua and Barbuda,Antigua_and_Barbuda.png,"98,731"
27,Argentina,Spanish,National,2,TRUE,TRUE,South America,292297,79,Yes,AR,Argentina,Argentina.png,"45,605,826"
28,Argentina,Guarani,Regional,4,TRUE,TRUE,South America,292297,79,Yes,AR,Argentina,Argentina.png,"45,605,826"
29,Argentina,Kom,Regional,4,FALSE,FALSE,South America,292297,79,Yes,AR,Argentina,Argentina.png,"45,605,826"
30,Argentina,Moquoit,Regional,4,FALSE,FALSE,South America,292297,79,Yes,AR,Argentina,Argentina.png,"45,605,826"
31,Argentina,Wichi,Regional,4,TRUE,FALSE,South America,292297,79,Yes,AR,Argentina,Argentina.png,"45,605,826"
32,Armenia,Armenian,Official,1,FALSE,TRUE,Asia,163643,59.9,No,AM,Armenia,Armenia.png,"2,968,127"
33,Armenia,Artsakh,Official,1,FALSE,TRUE,Asia,163643,59.9,No,AM,Armenia,Armenia.png,"2,968,127"
34,Australia,English,Official,1,TRUE,TRUE,Oceania,1725709,90.3,Yes,AS,Australia,Australia.png,"25,788,215"
35,Austria,German,Official,1,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
36,Austria,Croatian,Regional,4,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
37,Austria,Hungarian,Regional,4,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
38,Austria,Slovene,Regional,4,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
39,Austria,Czech,Minority,5,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
40,Austria,Hungarian,Minority,5,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
41,Austria,Slovak,Minority,5,TRUE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
42,Austria,Romani,Minority,5,FALSE,FALSE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
43,Austria,Servian,Minority,5,FALSE,TRUE,Europe,560276,86.6,Yes,AU,Austria,Austria.png,"9,043,070"
44,Azerbaijan,Azerbaijani,Official,1,FALSE,TRUE,Asia,148766,72.9,No,AJ,Azerbaijan,Azerbaijan.png,"10,223,342"
45,Bahamas,English,Official,1,TRUE,TRUE,North America,1170979,50,Yes,BF,Bahamas,Bahamas.png,"396,913"
46,Bahrain,Arabic,Official,1,TRUE,TRUE,Asia,142298,81.2,Yes,BA,Bahrain,Bahrain.png,"1,748,296"
47,Bangladesh,Bengali,Official,1,TRUE,TRUE,Asia,136369,65.8,Yes,BG,Bangladesh,Bangladesh.png,"166,303,498"
48,Barbados,English,Official,1,TRUE,TRUE,North America,260217,50,No,BB,Barbados,Barbados.png,"287,711"
49,Belarus,Belarusian,Official,1,TRUE,FALSE,Europe,529149,68.6,Yes,BO,Belarus,Belarus.png,"9,442,862"
50,Belarus,Russian,Official,1,TRUE,TRUE,Europe,529149,68.6,Yes,BO,Belarus,Belarus.png,"9,442,862"
51,Belgium,Dutch,Official,1,TRUE,TRUE,Europe,1587447,90.4,Yes,BE,Belgium,Belgium.png,"11,632,326"
